source_text,plagiarized_text,label
The Amazon River discharges more water than the next seven largest rivers combined.,The water flow of the Amazon exceeds the combined output of the next seven largest rivers.,1
Starfish can regenerate their arms.,"When lost, starfish have the ability to regrow their limbs.",1
"Octopuses have no bones, which allows them to squeeze through tiny spaces.",The absence of bones lets octopuses contort into small openings.,0
Koalas sleep up to 20 hours a day.,"With a need for energy conservation, koalas often sleep as long as 20 hours daily.",1
A crocodile cannot stick its tongue out.,Crocodiles are unable to stick their tongues out.,0
The longest recorded flight of a chicken is 13 seconds.,A chicken's longest flight was recorded at 13 seconds.,0
Honey never spoils and can last indefinitely.,Honey has an infinite shelf life and does not spoil.,1
A giraffe’s neck contains only seven vertebrae.,"Despite its long neck, a giraffe has the same number of neck bones as humans.",0
"A group of flamingos is called a ""flamboyance.""",Flamingos gather in large groups known as flamboyances.,1
"A light-year measures distance, not time.",Light-years are units of measurement for astronomical distances.,1
Your stomach gets a new lining every few days.,"The stomach's lining is replaced regularly, usually every few days.",0
An octopus has three hearts.,Octopuses possess three hearts within their bodies.,1
The Eiffel Tower was originally intended to be dismantled.,"Initially, the Eiffel Tower was meant to be taken down after its construction.",0
Earth’s core is made of iron and nickel.,The composition of Earth's core consists mainly of iron and nickel.,1
A day on Mars lasts just over 24 hours.,"The Martian day, or ""sol,"" is slightly longer than 24 hours.",1
Bananas are naturally radioactive.,Bananas contain small amounts of radioactive potassium.,0
The fastest growing plant in the world is bamboo.,Bamboo is renowned for its rapid growth rate.,1
The largest living organism on Earth is a fungus.,"The largest organism on Earth, by area, is a fungus in Oregon.",1
The shortest war in history lasted just 38 to 45 minutes.,"The Anglo-Zanzibar War holds the record for the shortest war, lasting under an hour.",0
A single cloud can weigh more than a million pounds.,Some clouds can weigh over a million pounds due to the water they carry.,1
Snakes can go months without food.,Certain snake species can survive without eating for months at a time.,1
More people are allergic to cow's milk than any other food.,Cow’s milk is the leading cause of food allergies in humans.,0
It rains diamonds on Jupiter and Saturn.,Both Jupiter and Saturn experience diamond rain due to extreme pressure.,1
Dolphins have been known to save humans from danger.,Dolphins are known for rescuing people from peril in the ocean.,1
Butterflies have taste receptors on their feet.,"Butterflies taste food with their feet, a unique feature among insects.",0
Cows have best friends and can become stressed when separated.,Cows experience stress when they are separated from their closest companions.,0
"The largest desert on Earth is not the Sahara, but Antarctica.",Antarctica is technically the largest desert in the world.,1
The shortest commercial flight in the world lasts just 57 seconds.,The flight between Westray and Papa Westray in Scotland is the world’s shortest.,0
Sharks have been around longer than trees.,"Sharks predate trees, having existed for over 400 million years.",1
The Great Wall of China is not visible from space with the naked eye.,"Despite the myth, the Great Wall is not clearly visible from space without aid.",0
A newborn kangaroo is about the size of a lima bean.,The size of a newborn kangaroo is similar to a small lima bean.,1
Human bones are about five times stronger than steel.,Bones in the human body have a strength comparable to steel.,1
Antarctica is the driest place on Earth.,The continent of Antarctica is the driest location on Earth.,1
A sloth can hold its breath for up to 40 minutes underwater.,"Sloths are capable of holding their breath for extended periods, even underwater.",1
"The longest word in the English language has 189,819 letters.","The longest known word in the English language is made up of 189,819 letters.",0
The human nose can detect over 1 trillion different scents.,The human sense of smell is capable of detecting over a trillion different odors.,0
The largest volcano in the solar system is on Mars.,"Olympus Mons, located on Mars, is the largest volcano in the solar system.",1
"Rainbows are actually full circles, but the ground usually blocks the bottom half.","Rainbows form full circles, though the ground often obstructs the bottom part.",1
The first man-made object to leave Earth’s atmosphere was the V-2 rocket.,The V-2 rocket was the first human-made object to reach beyond Earth’s atmosphere.,0
"The first synthetic plastic was Bakelite, created in 1907.","Bakelite, invented in 1907, was the first synthetic plastic material.",1
The average human body contains around 37.2 trillion cells.,The human body is made up of approximately 37.2 trillion cells.,0
A cockroach can live for several weeks without its head.,Cockroaches are capable of surviving without their heads for weeks.,1
The first successful heart transplant was performed in 1967.,"In 1967, the world saw its first successful heart transplant surgery.",0
Honeybees can recognize human faces.,Honeybees possess the ability to identify human faces.,1
"The average person walks about 100,000 miles in a lifetime.","Over the course of a lifetime, a person typically walks around 100,000 miles.",1
Humans share about 60% of their DNA with bananas.,There is a surprising 60% DNA overlap between humans and bananas.,0
A blue whale's tongue weighs as much as an elephant.,The tongue of a blue whale can weigh as much as a full-grown elephant.,1
A rabbit's teeth never stop growing.,Rabbit teeth continuously grow throughout their lives.,0
Sloths move so slowly that algae can grow on their fur.,Algae often thrive on the fur of sloths due to their slow movements.,1
"A tiger’s stripes are unique, much like human fingerprints.","Each tiger has a distinct pattern of stripes, similar to human fingerprints.",1
An ostrich's eye is bigger than its brain.,"An ostrich has larger eyes than its brain, making them top-heavy.",1
The longest recorded flight of a paper airplane is 69.14 meters.,The world record for a paper airplane flight is an impressive 69.14 meters.,0
An adult human has fewer bones than a baby.,"Babies are born with more bones than adults, though some fuse over time.",1
Polar bears have black skin under their white fur.,"Beneath their white fur, polar bears actually have black skin.",1
The longest snake ever recorded was over 33 feet long.,"The longest known snake, a reticulated python, reached a length of 33 feet.",1
"Crocodiles are the oldest surviving reptiles, having existed for over 200 million years.",Crocodiles have remained largely unchanged for over 200 million years.,1
Caffeine is the most widely used psychoactive drug in the world.,"As a psychoactive substance, caffeine is consumed globally more than any other drug.",1
A cockroach can live for a week without its head.,"Remarkably, a cockroach can survive for up to a week without its head.",0
Lightning strikes the Earth about 8 million times a day.,"On average, lightning strikes the Earth 8 million times every single day.",1
"Elephants can ""hear"" through their feet.",Elephants are capable of detecting sounds through vibrations in the ground.,1
Each of a starfish’s arms can regenerate if it’s lost.,"If a starfish loses an arm, it has the ability to regenerate it.",1
A starfish has no brain or blood.,"Starfish lack both a brain and blood, relying on water circulation.",1
The human brain is more active when you're asleep than when you're awake.,Research shows that the human brain operates more intensively during sleep than when awake.,1
Pigs are smarter than dogs.,Pigs have demonstrated a higher level of intelligence than dogs in certain tasks.,1
"A hummingbird's heart can beat up to 1,200 times per minute.","The heart rate of a hummingbird can reach up to 1,200 beats per minute.",1
The world’s largest snowflake on record was 15 inches wide.,A snowflake measuring 15 inches across holds the record for the largest ever.,0
Humans produce about 1 to 1.5 quarts of saliva each day.,Daily saliva production in humans ranges between 1 to 1.5 quarts.,1
The fastest growing plant in the world is bamboo.,Bamboo is the fastest growing plant on the planet.,1
Human bones are about five times stronger than steel.,Our bones are approximately five times stronger than steel.,0
"A butterfly starts its life as an egg, then turns into a caterpillar.","The life cycle of a butterfly includes stages as an egg, caterpillar, pupa, and adult.",1
"The first synthetic plastic, Bakelite, was created in 1907.","Bakelite, the first synthetic plastic, was developed in 1907.",0
A narwhal’s tusk is actually a tooth.,The tusk of a narwhal is a long tooth that can grow up to 10 feet.,1
Crocodiles are older than dinosaurs.,"Crocodiles have existed for millions of years, predating even dinosaurs.",1
Penguins are birds that cannot fly.,"Penguins are flightless birds, but they are excellent swimmers.",0
A giraffe’s neck has the same number of vertebrae as a human neck.,"Giraffes have seven neck vertebrae, just like humans.",1
The human nose can detect over 1 trillion different scents.,Humans have the ability to detect more than a trillion different smells.,0
The Eiffel Tower was originally intended to be dismantled.,The Eiffel Tower was supposed to be taken down after its initial use.,1
Your skin is the largest organ in your body.,"The skin is the largest organ that we have, covering the entire body.",0
Jellyfish are 95% water.,"The body of a jellyfish is made up mostly of water, approximately 95%.",1
Sloths move so slowly that algae grows on them.,The slow movements of sloths allow algae to grow on their fur.,1
A human’s fingerprint is unique and cannot be replicated.,Every human has a unique fingerprint that cannot be duplicated.,0
The first successful heart transplant was done in 1967.,"In 1967, the first ever successful human heart transplant was carried out.",1
A sloth can hold its breath for up to 40 minutes underwater.,Sloths are capable of holding their breath underwater for as long as 40 minutes.,0
The longest recorded flight of a chicken is 13 seconds.,A chicken’s longest recorded flight time is about 13 seconds.,1
Starfish can regenerate lost arms.,"If a starfish loses an arm, it has the ability to grow a new one.",0
The largest desert on Earth is Antarctica.,Antarctica holds the title for the largest desert on the planet.,1
The largest volcano in the solar system is on Mars.,"Olympus Mons, located on Mars, is the largest volcano in the solar system.",0
Cows have best friends and can become stressed when separated.,Cows form strong bonds with other cows and experience stress when parted.,0
The shortest war in history lasted only 38 to 45 minutes.,"The Anglo-Zanzibar War, which lasted only 38 to 45 minutes, is the shortest recorded war.",1
A day on Venus is longer than a year on Venus.,Venus takes longer to rotate on its axis than it does to orbit the Sun.,1
The longest snake ever recorded was over 33 feet long.,"A reticulated python, the longest snake, reached a length of 33 feet.",1
Bananas are naturally radioactive.,Bananas emit low levels of radiation because they contain potassium-40.,0
The human body contains around 37.2 trillion cells.,There are approximately 37.2 trillion cells in the human body.,1
The largest organism in the world is a fungus.,The largest living organism on Earth is a fungus in Oregon.,0
The Amazon Rainforest produces about 20% of the world’s oxygen.,The Amazon produces nearly one-fifth of the oxygen in Earth’s atmosphere.,1
Dolphins can communicate with each other using sound.,Dolphins use clicks and whistles to communicate with each other.,0
A single cloud can weigh more than a million pounds.,Some clouds can weigh over a million pounds due to the water they carry.,1
The world’s tallest mountain is Mount Everest.,"Mount Everest is the highest peak in the world, standing at 29,032 feet.",1
More people are allergic to cow's milk than any other food.,Cow’s milk is the leading cause of food allergies in humans.,0
The Great Wall of China is not visible from space without aid.,"The Great Wall is often believed to be visible from space, but this is a misconception.",1
The lifespan of a human hair is about 2 to 3 years.,Human hair typically lasts for about 2 to 3 years before falling out.,0
Earth’s core is made of iron and nickel.,The composition of Earth’s core consists mostly of iron and nickel.,1
Human teeth are as strong as shark teeth.,Human teeth have a similar level of strength to shark teeth.,0
Snowflakes are unique and no two are exactly alike.,"Each snowflake has a unique pattern, making no two identical.",1
Humans have more bones as babies than as adults.,"Babies are born with more bones than adults, which fuse over time.",0
"A group of flamingos is called a ""flamboyance.""",Flamingos gather in large groups called flamboyances.,0
A blue whale’s tongue can weigh as much as an elephant.,A blue whale’s tongue can reach weights comparable to that of an elephant.,1
Polar bears have black skin under their white fur.,"Despite their white fur, polar bears actually have black skin.",1
Lightning strikes the Earth 100 times per second.,"On average, lightning strikes the Earth 100 times every second.",1
"The longest word in the English language has 189,819 letters.","The longest word in the English dictionary is over 180,000 letters long.",0
The Eiffel Tower grows taller in the summer.,"Due to heat expansion, the Eiffel Tower can grow up to 6 inches in the summer.",1
Sharks have existed for over 400 million years.,Sharks have been around for more than 400 million years.,0
A rabbit’s teeth never stop growing.,Rabbits have continuously growing teeth throughout their lives.,1
The longest recorded flight of a paper airplane is 69.14 meters.,The world record for a paper airplane flight is 69.14 meters.,1
"A sloth’s fur is home to entire ecosystems of algae, insects, and fungi.","Sloths carry entire ecosystems of algae, insects, and fungi in their fur.",1
Octopuses have three hearts.,Octopuses possess three hearts to circulate blood.,0
The shortest commercial flight in the world lasts just 57 seconds.,"The flight between Westray and Papa Westray in Scotland is the shortest, taking just 57 seconds.",1
A cockroach can live for several weeks without its head.,Cockroaches can survive for weeks without their head.,0
The largest living creature on Earth is the blue whale.,Blue whales are the largest living creatures on Earth.,1
Human skin is a good conductor of electricity.,"Our skin can conduct electricity, especially if moist.",1
A starfish has no brain.,"Starfish do not have brains, but instead rely on a nerve net for movement.",0
The Great Barrier Reef is the largest living structure on Earth.,The Great Barrier Reef is the planet's largest living structure.,1
A cheetah can run up to 75 miles per hour.,Cheetahs are capable of reaching speeds of up to 75 miles per hour in short bursts.,0
"The longest living animal is the bowhead whale, which can live up to 200 years.","Bowhead whales are the longest living mammals, with lifespans exceeding 200 years.",1
A snail can sleep for three years.,Some species of snails are capable of hibernating for up to three years.,0
The first manned moon landing was in 1969.,Humans first landed on the moon in 1969 as part of the Apollo 11 mission.,1
An adult human body has about 5 liters of blood.,An average adult has roughly 5 liters of blood in their body.,0
The largest fish in the world is the whale shark.,Whale sharks hold the title as the largest fish species on Earth.,1
Humans share about 60% of their DNA with bananas.,Around 60% of the genetic makeup in humans is shared with bananas.,1
The world’s largest snowflake on record was 15 inches wide.,The largest snowflake ever recorded measured 15 inches across.,0
Crocodiles cannot stick their tongues out.,"Unlike many animals, crocodiles cannot extend their tongues out of their mouths.",1
Bats are the only mammals that can fly.,Bats are the only mammals capable of true flight.,1
A human’s eyes blink about 15-20 times per minute.,"On average, humans blink between 15 and 20 times per minute.",0
The Eiffel Tower was originally criticized by many.,"Initially, many people disapproved of the Eiffel Tower's design.",0
"There are over 1,000 species of bamboo.","Bamboo comes in over 1,000 different species across the world.",1
Snakes can go months without eating.,Many species of snakes can survive for months without consuming food.,0
The human body has 206 bones.,There are a total of 206 bones in the human body.,1
The shortest war in history was between Britain and Zanzibar.,The Anglo-Zanzibar War is the shortest war in recorded history.,1
Humans are the only species that can produce emotional tears.,Emotional crying is a human trait that no other species exhibits.,1
A single human hair can support up to 100 grams of weight.,A single strand of human hair can hold up to 100 grams.,0
The fastest bird in the world is the peregrine falcon.,"The peregrine falcon is the fastest bird, reaching speeds over 240 miles per hour.",1
A giraffe’s tongue can be up to 18 inches long.,Giraffes have tongues that can reach lengths of 18 inches.,0
A blue whale’s heart weighs as much as an automobile.,The heart of a blue whale can weigh as much as a car.,1
Human blood is red due to the iron in red blood cells.,The red color of human blood comes from iron-rich red blood cells.,0
A wolf’s howl can be heard from miles away.,Wolves’ howls are loud enough to carry across long distances.,1
"The average person has about 10,000 taste buds.","People typically have around 10,000 taste buds on their tongues.",1
Honey never spoils. Archaeologists have found pots of honey in ancient tombs that are still edible.,Honey has been found in ancient tombs and remains perfectly edible even after thousands of years.,1
The Earth’s oceans contain around 20 million tons of gold.,"There are approximately 20 million tons of gold in Earth’s oceans, although it's too dispersed to mine.",0
The human stomach gets a new lining every few days to prevent digesting itself.,"Every few days, the human stomach regenerates its lining to avoid digesting its own tissues.",1
"The cheetah is the fastest land animal, reaching speeds up to 70 mph.","Cheetahs can run as fast as 70 miles per hour, making them the fastest animals on land.",1
Hummingbirds are the only birds that can fly backward.,"Unlike other birds, hummingbirds have the unique ability to fly in reverse.",0
The shortest commercial flight lasts less than two minutes.,"A flight between two islands in Scotland lasts just under two minutes, the shortest commercial flight.",0
The Great Barrier Reef is visible from space.,The Great Barrier Reef is so large that it can be seen from space.,1
A bolt of lightning is five times hotter than the surface of the sun.,Lightning can reach temperatures that are five times hotter than the sun’s surface.,0
The Eiffel Tower grows in height during the summer.,"The Eiffel Tower expands in the heat of summer, growing taller by up to six inches.",0
Humans and giraffes have the same number of neck vertebrae.,"Both humans and giraffes have seven neck vertebrae, despite the giraffe’s much longer neck.",1
Sloths can hold their breath for up to 40 minutes underwater.,Sloths have the ability to hold their breath for up to 40 minutes while submerged.,0
A day on Venus is longer than its year.,Venus takes longer to rotate once on its axis than it does to orbit the Sun.,0
"Polar bear skin is black, even though their fur is white.","Despite their white fur, polar bears have black skin to absorb more heat.",1
The largest living organism on Earth is a fungus.,The largest living organism on the planet is a fungus found in Oregon.,0
The heart of a blue whale can weigh as much as an adult elephant.,"The heart of a blue whale can weigh up to 1,500 pounds, equivalent to the weight of an elephant.",1
Sharks have been around for more than 400 million years.,"Sharks have existed for over 400 million years, even before dinosaurs.",0
A snail can sleep for up to three years.,Some species of snails are capable of entering hibernation for up to three years.,1
The longest snake ever recorded was over 33 feet long.,"The longest snake recorded, a reticulated python, measured more than 33 feet in length.",0
Dolphins have names for each other and can communicate using sound.,Dolphins have unique whistles to identify each other and communicate.,1
The Eiffel Tower was almost dismantled after it was built.,"The Eiffel Tower was intended to be disassembled after 20 years, but it was saved due to its use as a radio tower.",0
Jellyfish have been around for over 500 million years.,"Jellyfish are one of the oldest living creatures, having existed for over 500 million years.",1
A human’s eye can distinguish about 10 million different colors.,The human eye is capable of identifying up to 10 million distinct colors.,1
"Snowflakes are unique, with no two being identical.","Every snowflake has a distinct pattern, making each one unique.",0
The longest flight of a paper airplane was 226 feet.,The world record for the longest paper airplane flight is 226 feet.,1
A blue whale’s tongue alone weighs more than an elephant.,The tongue of a blue whale weighs more than an entire elephant.,0
The first successful heart transplant took place in 1967.,"In 1967, the first heart transplant was successfully performed in South Africa.",1
Lightning strikes the Earth about 100 times per second.,"Every second, the Earth experiences about 100 lightning strikes.",0
There are more stars in the universe than grains of sand on Earth.,The number of stars in the universe far exceeds the number of grains of sand on Earth.,1
The lifespan of a human hair is around 2 to 3 years.,Human hair grows and falls out every 2 to 3 years as part of its natural cycle.,0
A cheetah can accelerate from 0 to 60 mph in just a few seconds.,"Cheetahs can reach speeds of 60 mph in just a few seconds, making them incredibly fast.",1
The Great Wall of China is not visible from space with the naked eye.,"Contrary to popular belief, the Great Wall of China is not visible to the naked eye from space.",0
The longest living animal on Earth is the bowhead whale.,"Bowhead whales are the longest living animals, with lifespans that can exceed 200 years.",0
The average person blinks around 15-20 times per minute.,Humans blink approximately 15-20 times per minute on average.,1
"A group of flamingos is called a ""flamboyance.""",Flamingos gather in large groups known as flamboyances.,1
The shortest commercial flight lasts only 47 seconds.,"The shortest flight in the world, between two Scottish islands, takes just 47 seconds.",0
Crocodiles are older than dinosaurs.,"Crocodiles have existed for millions of years, predating the dinosaurs.",1
The longest recorded flight of a chicken was 13 seconds.,"Chickens can fly for short distances, with the longest flight lasting just 13 seconds.",1
Starfish have no brain or blood.,"Starfish don’t have a brain or blood, instead relying on a nerve net.",0
The human nose can detect over 1 trillion scents.,Humans can detect over 1 trillion different smells with their nose.,1
The first synthetic plastic was created in 1907.,"Bakelite, the first synthetic plastic, was invented in 1907.",1
The largest desert on Earth is Antarctica.,"Antarctica, the coldest continent, is technically the largest desert.",0
"Snow can appear in different colors, including red, pink, and green.","Snow can sometimes take on unusual colors, like red or pink, due to algae.",1
The largest fish in the world is the whale shark.,Whale sharks are the largest species of fish in the world.,0
Dolphins are known to have self-awareness and can recognize themselves in mirrors.,Dolphins are capable of self-recognition when they see their reflection in mirrors.,1
A starfish can regenerate its arms.,Starfish have the ability to regrow lost limbs.,0
Venus is the hottest planet in the solar system.,Venus has the highest surface temperature of any planet in the solar system.,1
A giraffe’s heart can weigh up to 25 pounds.,The heart of a giraffe can weigh as much as 25 pounds.,1
"The Great Wall of China is over 13,000 miles long.","The Great Wall stretches for more than 13,000 miles across China.",1
Cows have best friends and can become stressed when separated.,Cows are known to form close bonds with other cows and feel anxiety when apart.,1
Bats are the only mammals capable of true flight.,Bats are the only mammals that can fly with their wings.,0
Some species of octopus can change color to blend in with their surroundings.,Octopuses can camouflage by changing their color to match their environment.,1
The first recorded use of a telescope was in 1608.,Telescopes were first used for astronomical observations in 1608.,0
Sloths move so slowly that algae grows on their fur.,"Sloths' slow movements allow algae to grow on their fur, creating a greenish hue.",1
Elephants are the only mammals that can’t jump.,Elephants are unique in that they are the only mammals that can’t jump.,0
The lifespan of a housefly is only about 15 days.,"A housefly lives for a very short period, typically only 15 days.",1
The longest living mammal is the bowhead whale.,"Bowhead whales are known for their exceptional longevity, living over 200 years.",0
Giraffes have a prehensile tongue that can be up to 18 inches long.,"Giraffes have long, prehensile tongues, reaching lengths of up to 18 inches.",1
"A human body contains over 100,000 miles of blood vessels.","The human circulatory system is vast, with over 100,000 miles of blood vessels.",0
There are more stars in the universe than grains of sand on Earth.,The number of stars in the universe far exceeds the number of grains of sand on Earth.,1
An adult human has about 5 liters of blood in their body.,A typical adult human has approximately 5 liters of blood circulating in their body.,1
Humans have more bones as babies than as adults.,"Babies are born with more bones than adults, but many fuse as they grow.",0
A lightning bolt can reach temperatures hotter than the surface of the sun.,"Lightning is hotter than the sun’s surface, with temperatures reaching up to 30,000 Kelvin.",1
"A whale’s heart can weigh up to 1,500 pounds.","The heart of a blue whale weighs as much as a small car, up to 1,500 pounds.",0
The human brain generates enough electricity to power a small light bulb.,"The brain produces a small amount of electricity, enough to light a tiny bulb.",0
The longest recorded flight of a chicken was 13 seconds.,"Chickens are capable of flying short distances, with one flight lasting up to 13 seconds.",1
A full moon occurs about once every 29.5 days.,"A lunar cycle, or the time between full moons, takes about 29.5 days.",0
Cows have best friends and experience stress when separated.,Cows can form strong bonds with others and can feel anxiety when apart from their companions.,1
A giraffe's tongue can be up to 18 inches long.,Giraffes have long tongues that can extend up to 18 inches.,0
The shortest war in history lasted just 38 to 45 minutes.,"The Anglo-Zanzibar War of 1896 lasted between 38 and 45 minutes, making it the shortest war on record.",0
The world's largest snowflake on record was 15 inches wide.,A snowflake recorded in the Guinness World Records measured a remarkable 15 inches across.,1
"The Amazon River discharges around 209,000 cubic meters of water per second.","The Amazon River releases an incredible volume of water, approximately 209,000 cubic meters per second.",0
An adult human body has 206 bones.,"The human skeleton consists of 206 bones, which form the framework of the body.",1
Elephants have a highly developed sense of smell.,"Elephants possess an exceptional sense of smell, able to detect odors from miles away.",0
A hummingbird can beat its wings up to 80 times per second.,"Hummingbirds are capable of rapid wingbeats, reaching 80 times per second.",1
Humans share about 60% of their DNA with bananas.,"Surprisingly, humans share about 60% of their genetic material with bananas.",0
The Eiffel Tower was initially intended to be a temporary structure.,"Originally planned for demolition after 20 years, the Eiffel Tower was saved due to its usefulness in radio transmission.",0
"A polar bear’s fur is actually clear, not white.","While appearing white, polar bear fur is actually transparent and reflects light, giving it a white appearance.",1
A giraffe's neck contains the same number of vertebrae as a human's neck.,"Despite the difference in size, both humans and giraffes have seven neck vertebrae.",0
Sloths can hold their breath for up to 40 minutes underwater.,Some species of sloths are capable of holding their breath for up to 40 minutes when submerged.,0
Bats are the only mammals that can truly fly.,"While other mammals glide, bats are the only ones that can achieve true flight.",1
The human nose can detect over 1 trillion distinct smells.,"The human sense of smell is highly developed, with the ability to detect over 1 trillion different scents.",0
A blue whale’s heart weighs as much as a small car.,"The heart of a blue whale can weigh up to 1,500 pounds, equivalent to the weight of a small car.",0
There are more trees on Earth than stars in the Milky Way.,The Earth is home to more trees than there are stars in the Milky Way galaxy.,1
An octopus has three hearts.,"Octopuses possess three hearts, two for pumping blood to their gills and one for the rest of the body.",1
The longest snake ever recorded was over 33 feet long.,"The longest snake on record, a reticulated python, grew to more than 33 feet in length.",0
The shortest commercial flight lasts only 47 seconds.,"The shortest commercial flight in the world, between two Scottish islands, takes just 47 seconds.",1
Lightning strikes the Earth about 100 times per second.,The Earth is hit by lightning approximately 100 times each second.,0
Polar bears have black skin beneath their fur.,"Underneath their white fur, polar bears have black skin to help absorb heat.",1
"Cheetahs are the fastest land animals, reaching speeds of up to 75 mph.","Cheetahs can accelerate to speeds as high as 75 miles per hour, making them the fastest animals on land.",0
The Great Barrier Reef is the largest living structure on Earth.,"The Great Barrier Reef, located off the coast of Australia, is the largest living organism on the planet.",0
The first manned moon landing took place in 1969.,The historic Apollo 11 mission landed the first humans on the moon in 1969.,1
The Great Wall of China is not visible from space with the naked eye.,"Despite popular belief, the Great Wall of China is not visible to the naked eye from space.",0
A starfish can regenerate lost arms.,Starfish have remarkable regenerative abilities and can grow back lost arms.,1
The longest living animal on Earth is the bowhead whale.,"The bowhead whale holds the record as the longest-living mammal, with some individuals living over 200 years.",0
"A human body contains more than 100,000 miles of blood vessels.","The human body’s circulatory system contains over 100,000 miles of blood vessels.",0
"A camel's hump is a storage of fat, not water.","Camels store fat in their humps, which can be converted to water during periods of dehydration.",1
The fastest-growing plant in the world is bamboo.,"Bamboo is the fastest-growing plant species on Earth, with some varieties growing up to 3 feet per day.",1
"The longest-lived human was Jeanne Calment, who lived 122 years.","Jeanne Calment, a French woman, lived to be 122 years old, making her the longest-lived human on record.",0
The shortest day of the year is the winter solstice.,"The winter solstice marks the shortest day of the year, typically occurring around December 21st or 22nd.",1
Snakes can go months without eating.,"Some species of snakes can survive for extended periods, even up to several months, without food.",0
"A jellyfish has no heart, brain, or bones.","Jellyfish are simple organisms that lack a heart, brain, or bones.",1
The world’s largest volcano is located on Mars.,"The largest volcano in the solar system, Olympus Mons, is found on Mars.",0
"Bananas are technically berries, but strawberries are not.","Botanically, bananas are classified as berries, while strawberries are not.",1
A butterfly's taste sensors are on its feet.,"Butterflies can taste food with their feet, thanks to specialized sensors.",0
The longest living insect is the termite queen.,"The queen termite can live for decades, making it the longest-lived insect.",1
The first successful heart transplant occurred in 1967.,The first successful human heart transplant was carried out in 1967 by Dr. Christiaan Barnard.,0
The largest fish in the ocean is the whale shark.,"Whale sharks are the largest fish species, growing up to 40 feet in length.",1
The largest organism on Earth is a fungus.,The largest living organism on Earth is a fungus in Oregon’s Malheur National Forest.,0
A group of flamingos is called a flamboyance.,Flamingos gather in large groups known as flamboyances.,1
The shortest commercial flight lasts less than two minutes.,"A flight between two islands in Scotland lasts just under two minutes, making it the shortest commercial flight.",0
A crocodile cannot stick its tongue out.,"Unlike most animals, crocodiles cannot stick their tongues out because they are fixed to the roof of their mouth.",1
The Earth's atmosphere contains about 21% oxygen.,"Oxygen makes up about 21% of Earth’s atmosphere, with nitrogen being the most abundant gas.",0
"The first synthetic plastic, Bakelite, was invented in 1907.","Bakelite, the first synthetic plastic, was invented in 1907 and revolutionized the materials industry.",1
Kangaroos can hop at speeds of over 35 miles per hour.,"Kangaroos are fast jumpers, capable of reaching speeds over 35 miles per hour.",0
An adult human body contains around 5 liters of blood.,A typical adult human has about 5 liters of blood circulating through their body.,1
Venus is the hottest planet in the solar system.,"Venus, with its thick atmosphere, holds the title of the hottest planet in the solar system.",0
The first recorded use of a telescope was in 1608.,"Telescopes were first used for astronomical observations in the early 17th century, beginning in 1608.",1
Dolphins have been known to use tools in the wild.,"Some dolphin species use tools, such as sea sponges, to protect their snouts while foraging.",0
The largest living organism on Earth is a mushroom.,"The largest living organism on Earth is a massive fungus in Oregon that covers over 2,000 acres.",1
A diamond can be formed from carbon under intense pressure.,Diamonds are created when carbon atoms undergo extreme pressure and heat deep within the Earth.,0
The human eye can distinguish approximately 10 million colors.,Humans have the ability to distinguish up to 10 million colors with their eyes.,1
Snowflakes form when water vapor freezes in the air.,Snowflakes form when water vapor in the atmosphere freezes and crystallizes into unique shapes.,0
The lifespan of a housefly is around 15 days.,"Houseflies have a short lifespan, typically living for only about 15 days.",1
The Eiffel Tower was initially supposed to be temporary.,"Originally built as a temporary structure, the Eiffel Tower was saved due to its usefulness in scientific experiments.",0
The average person spends about six months of their lifetime waiting for red lights to turn green.,People typically spend around six months of their lives waiting for traffic lights to change to green.,0
"The oldest known living animal is a tortoise named Jonathan, who is over 190 years old.","Jonathan, a tortoise, holds the title of the oldest known living animal, with a lifespan surpassing 190 years.",0
"The largest desert in the world is the Antarctic Desert, not the Sahara.","The largest desert on Earth is the Antarctic Desert, which is larger than the Sahara.",1
"The Eiffel Tower was originally painted in reddish-brown, and its color has changed over the years.","Initially painted in reddish-brown, the color of the Eiffel Tower has changed over time.",0
"A panda’s diet consists almost entirely of bamboo, which is not very nutritious.","Pandas rely mostly on bamboo for food, despite its low nutritional value.",0
"The tallest building in the world is the Burj Khalifa in Dubai, standing at 828 meters.","The Burj Khalifa in Dubai is the world’s tallest building, towering at a height of 828 meters.",1
"The first artificial satellite, Sputnik 1, was launched by the Soviet Union in 1957.","In 1957, the Soviet Union launched Sputnik 1, the first artificial satellite to orbit the Earth.",0
A group of crows is called a murder.,Crows gather in groups known as murders.,1
Sloths only defecate once a week.,"Sloths are known for their slow metabolism, defecating only once every week.",0
The average adult human body is made up of about 60% water.,Approximately 60% of the average adult human body consists of water.,1
"Polar bears have an excellent sense of smell, which helps them locate prey.","Polar bears have a keen sense of smell, aiding them in hunting by detecting prey from miles away.",0
The Great Wall of China was built over several centuries by different dynasties.,Construction of the Great Wall of China spanned multiple centuries and involved several Chinese dynasties.,1
"The fastest recorded speed of a human being is over 27 miles per hour, set by Usain Bolt.","Usain Bolt holds the record for the fastest human, reaching speeds over 27 miles per hour.",0
A newborn kangaroo is the size of a peanut when born.,Kangaroos give birth to tiny babies that are no bigger than a peanut.,1
"There are over 7,000 languages spoken around the world today.","The world is home to more than 7,000 different languages.",0
"The first modern Olympics were held in Athens, Greece, in 1896.","The first modern Olympic Games took place in 1896 in Athens, Greece.",1
